hand_side,orientation,index_angle,middle_angle,ring_angle,thumb_index_distance,ball_thumb_distance,ball_index_distance,ball_middle_distance,ball_ring_distance,wrist_angle,label
RIGHT,BACK,152.94,157.0,26.68,0.53,0.0159,0.5338,0.4074,0.7956,79.08,seam_grip
RIGHT,BACK,156.02,156.6,25.66,0.5572,0.0183,0.5389,0.4136,0.7907,79.66,seam_grip
RIGHT,BACK,154.0,155.43,27.24,0.539,0.015,0.5245,0.3739,0.8084,78.96,seam_grip
RIGHT,BACK,151.49,154.96,29.29,0.5345,0.0027,0.5358,0.408,0.7851,78.79,seam_grip
RIGHT,BACK,150.38,154.65,28.56,0.5352,0.0161,0.5265,0.4116,0.7978,78.77,seam_grip
RIGHT,BACK,151.5,155.39,28.11,0.499,0.0275,0.5245,0.4005,0.7905,78.64,seam_grip
RIGHT,BACK,152.23,157.0,26.41,0.5019,0.0173,0.5118,0.3921,0.7886,78.85,seam_grip
RIGHT,BACK,153.09,154.4,27.72,0.5137,0.0285,0.5327,0.393,0.8027,78.86,seam_grip
RIGHT,BACK,152.87,162.41,11.65,0.8509,0.405,0.836,0.7296,1.1887,61.96,seam_grip
RIGHT,BACK,149.86,160.89,16.13,0.7602,0.3601,0.738,0.666,1.0921,61.86,seam_grip
RIGHT,BACK,150.45,160.25,16.43,0.7758,0.3077,0.7298,0.6424,1.1052,61.06,seam_grip
RIGHT,BACK,143.39,151.94,26.51,0.6701,0.2685,0.6897,0.5817,1.0202,57.67,seam_grip
RIGHT,BACK,138.83,151.54,30.07,0.5669,0.2833,0.6069,0.4942,0.9231,58.19,seam_grip
RIGHT,BACK,138.06,150.58,30.4,0.5743,0.2499,0.6228,0.5019,0.8622,60.66,seam_grip
RIGHT,BACK,131.2,135.51,37.05,0.4876,0.1886,0.6617,0.5171,0.8541,62.92,seam_grip
RIGHT,BACK,129.36,129.84,40.41,0.4528,0.2376,0.6597,0.5419,0.8045,61.54,seam_grip
RIGHT,BACK,130.21,131.39,39.4,0.4883,0.2208,0.6733,0.5386,0.8118,62.07,seam_grip
RIGHT,BACK,130.73,132.5,39.28,0.4983,0.2529,0.7203,0.566,0.8232,61.98,seam_grip
RIGHT,BACK,131.67,133.14,38.89,0.4879,0.2586,0.7208,0.5599,0.8304,61.15,seam_grip
RIGHT,BACK,127.01,133.98,43.43,0.503,0.1918,0.6945,0.5406,0.8012,60.41,seam_grip
RIGHT,BACK,127.96,134.58,43.68,0.5183,0.1507,0.6681,0.5031,0.8089,60.44,seam_grip
RIGHT,BACK,130.14,142.31,43.24,0.5232,0.2626,0.7066,0.5169,0.8037,59.48,seam_grip
RIGHT,BACK,131.24,141.03,42.15,0.5305,0.2682,0.7245,0.5285,0.8416,58.91,seam_grip
RIGHT,BACK,130.99,140.16,42.8,0.5272,0.2482,0.737,0.5218,0.8218,58.74,seam_grip
RIGHT,BACK,156.11,172.37,4.01,1.0512,0.3245,0.9687,0.9189,1.2486,59.11,seam_grip
RIGHT,BACK,156.2,171.4,1.71,1.0231,0.2534,0.9725,0.9435,1.2396,59.08,seam_grip
RIGHT,BACK,156.63,170.81,0.65,1.0132,0.3137,0.961,0.9209,1.2435,55.31,seam_grip
RIGHT,BACK,156.96,169.13,0.19,0.9193,0.4183,0.9336,0.9836,1.2877,54.21,seam_grip
RIGHT,BACK,158.81,178.81,39.35,1.0194,0.3387,0.9844,1.1615,1.0617,70.92,seam_grip
RIGHT,BACK,159.34,178.25,36.31,0.9859,0.1087,1.0004,1.1666,1.0788,69.52,seam_grip
RIGHT,BACK,159.24,178.87,33.4,0.8622,0.1458,0.9529,1.1259,1.0733,68.5,seam_grip
RIGHT,BACK,160.22,179.97,35.37,0.8134,0.1337,0.9389,1.1427,1.0625,68.82,seam_grip
RIGHT,BACK,161.99,178.09,40.34,0.928,0.125,1.0204,1.2236,1.0813,69.09,seam_grip
RIGHT,BACK,163.62,178.48,51.58,0.9193,0.1794,1.0672,1.2632,0.9371,67.73,seam_grip
RIGHT,BACK,163.44,178.44,48.64,1.0988,0.3573,1.1225,1.3454,0.9187,66.95,seam_grip
RIGHT,BACK,150.94,162.55,11.74,0.559,0.1693,0.5801,0.572,0.7953,87.49,seam_grip
RIGHT,BACK,149.68,163.43,11.23,0.5627,0.1623,0.5634,0.5667,0.8543,87.26,seam_grip
RIGHT,BACK,151.71,164.1,9.21,0.5867,0.16,0.5755,0.5731,0.8336,87.13,seam_grip
RIGHT,BACK,150.07,162.69,12.21,0.5905,0.1652,0.5529,0.5635,0.8489,86.99,seam_grip
RIGHT,BACK,149.19,163.24,9.54,0.5221,0.2174,0.5445,0.5611,0.8086,86.83,seam_grip
RIGHT,BACK,150.61,162.56,11.34,0.5297,0.1861,0.5573,0.5559,0.8259,86.72,seam_grip
RIGHT,BACK,149.35,163.42,11.52,0.5631,0.1567,0.5495,0.546,0.8041,86.65,seam_grip
RIGHT,BACK,54.23,34.14,26.38,0.2339,0.0971,0.1455,0.0722,0.4292,75.95,seam_grip
RIGHT,BACK,63.02,40.65,35.63,0.2472,0.1031,0.2825,0.095,0.3436,75.83,seam_grip
RIGHT,BACK,58.54,40.98,47.34,0.225,0.104,0.2567,0.0723,0.3603,75.91,seam_grip
RIGHT,BACK,75.52,35.12,0.17,0.3701,0.2087,0.2241,0.2665,0.5592,88.04,seam_grip
RIGHT,BACK,38.31,25.6,36.52,0.2056,0.151,0.1053,0.0921,0.5465,87.37,seam_grip
RIGHT,BACK,36.69,25.89,34.36,0.2025,0.1079,0.1166,0.0583,0.5195,86.74,seam_grip
RIGHT,BACK,36.84,25.44,32.66,0.2046,0.1322,0.1191,0.0655,0.5331,86.95,seam_grip
RIGHT,BACK,36.3,26.34,33.99,0.1959,0.0957,0.1298,0.0426,0.4967,87.16,seam_grip
RIGHT,BACK,37.73,26.17,34.92,0.1942,0.1209,0.1132,0.0581,0.5209,87.32,seam_grip
RIGHT,BACK,38.97,28.17,33.09,0.1926,0.1208,0.1168,0.0543,0.5263,87.07,seam_grip
RIGHT,BACK,36.92,25.3,34.02,0.1998,0.1409,0.1072,0.0826,0.542,87.1,seam_grip
RIGHT,BACK,35.59,25.13,33.81,0.2016,0.094,0.1227,0.0459,0.4902,86.85,seam_grip
RIGHT,BACK,35.65,26.07,32.04,0.1953,0.1113,0.1182,0.0538,0.5137,87.0,seam_grip
RIGHT,BACK,39.1,29.09,36.85,0.2094,0.1295,0.1107,0.0651,0.5325,86.8,seam_grip
RIGHT,BACK,163.44,175.11,38.58,0.4424,0.2125,0.6518,0.8758,0.8938,84.64,seam_grip
RIGHT,BACK,162.41,175.71,35.83,0.5012,0.2621,0.7001,0.9533,0.95,83.21,seam_grip
RIGHT,BACK,161.46,174.17,38.37,0.5792,0.2253,0.6958,0.9737,0.969,82.95,seam_grip
RIGHT,BACK,161.83,174.49,31.83,0.5249,0.2169,0.647,0.9185,0.9736,81.69,seam_grip
RIGHT,BACK,161.36,175.64,35.84,0.513,0.1974,0.6254,0.9102,0.9459,81.67,seam_grip
RIGHT,BACK,161.74,173.55,34.43,0.527,0.2042,0.6158,0.8863,0.9703,81.54,seam_grip
RIGHT,BACK,160.94,173.92,38.11,0.4723,0.1691,0.6206,0.866,0.9321,82.68,seam_grip
RIGHT,BACK,158.42,175.32,35.78,0.583,0.2528,0.6283,0.921,0.9715,82.3,seam_grip
RIGHT,BACK,159.95,174.6,37.77,0.5884,0.2235,0.6347,0.9333,0.9955,82.89,seam_grip
RIGHT,BACK,159.16,174.91,37.71,0.6096,0.2527,0.6704,0.9747,1.0111,82.02,seam_grip
RIGHT,BACK,171.89,171.75,44.53,0.5232,0.1729,0.6857,0.9616,0.8698,86.21,seam_grip
RIGHT,BACK,173.98,172.03,46.29,0.422,0.2224,0.6423,0.9113,0.7871,85.11,seam_grip
RIGHT,BACK,157.7,177.57,39.16,0.6894,0.2964,0.7258,1.0227,1.0412,81.21,seam_grip
RIGHT,BACK,149.94,178.9,24.83,0.6262,0.3028,0.5162,0.7231,0.9548,81.17,seam_grip
RIGHT,BACK,145.37,151.79,22.35,0.6112,0.0701,0.5971,0.4897,0.9017,76.4,seam_grip
RIGHT,BACK,153.97,162.92,2.82,0.6055,0.1543,0.4982,0.4999,0.8512,79.18,seam_grip
RIGHT,BACK,153.78,163.25,2.19,0.5797,0.1242,0.5166,0.5309,0.8232,79.66,seam_grip
RIGHT,BACK,154.06,163.7,1.64,0.5946,0.1468,0.5394,0.5502,0.843,79.91,seam_grip
RIGHT,BACK,153.71,164.81,0.39,0.5914,0.1533,0.5151,0.5256,0.8655,80.48,seam_grip
RIGHT,BACK,150.13,155.45,19.38,0.5465,0.0616,0.5192,0.4359,0.7593,77.52,seam_grip
RIGHT,BACK,150.44,158.71,17.98,0.5419,0.043,0.5335,0.4692,0.7446,77.95,seam_grip
RIGHT,BACK,152.91,148.49,37.02,0.7003,0.2289,0.7711,0.5445,0.7587,67.03,seam_grip
RIGHT,BACK,175.78,163.72,43.16,0.3935,0.3724,0.7021,0.6836,0.6835,88.87,seam_grip
RIGHT,BACK,175.15,162.74,55.38,0.3747,0.4748,0.7927,0.782,0.5329,88.6,seam_grip
RIGHT,BACK,174.22,161.66,56.46,0.3752,0.5159,0.8383,0.8212,0.4959,88.05,seam_grip
